Individual	longitude	latitude	species	Haplotype_available
10	7.14	47.45	Gammarus_fossarum_Komplex	No
90	7.14	47.45	Gammarus_sp.	No
2272	7.86	46.69	Niphargus_caspary	No
2273	7.86	46.69	Niphargus_caspary	No
2274	7.58	47.55	Niphargus_caspary	No
2287	7.58	47.55	Niphargus_puteanus	No
2288	8.79	46.16	Niphargus_thuringius	No
2289	6.81	46.96	Niphargus_virei	No
2618	9.01	45.83	NA	No
2629	7.60	47.57	Crangonyx_subterraneus	No
2630	7.60	47.57	Crangonyx_subterraneus	No
2631	8.96	45.88	Echinogammarus_stammeri	No
2632	8.96	45.88	Echinogammarus_stammeri	No
2633	7.60	47.57	Niphargus_virei	No
2634	9.02	45.86	Niphargus_brixianus	No
2635	8.95	45.90	Niphargus_brixianus	No
2636	7.60	47.57	Niphargus_caspary	No
2637	7.60	47.57	Niphargus_caspary	No
2638	7.60	47.57	Niphargus_caspary	No
2639	7.60	47.57	Niphargus_inopinatus	No
2640	7.69	47.37	Niphargus_puteanus	No
2641	7.70	47.37	Niphargus_puteanus	No
2642	6.72	46.95	Niphargus_rhenorhodanensis_Komplex	No
2644	6.72	46.95	Niphargus_rhenorhodanensis_Komplex	No
2645	7.60	47.57	Niphargus_rhenorhodanensis_Komplex	No
2646	7.60	47.57	Niphargus_rhenorhodanensis_Komplex	No
2647	7.60	47.57	Niphargus_rhenorhodanensis_Komplex	No
2648	7.60	47.57	Niphargus_rhenorhodanensis_Komplex	No
2649	7.60	47.57	Niphargus_rhenorhodanensis_Komplex	No
2650	7.60	47.57	Niphargus_rhenorhodanensis_Komplex	No
2651	7.60	47.57	Niphargus_rhenorhodanensis_Komplex	No
2652	7.60	47.57	Niphargus_rhenorhodanensis_Komplex	No
2653	7.22	47.42	Niphargus_rhenorhodanensis_Komplex	No
2659	8.92	46.88	Niphargus_thienemanni	No
2660	8.89	46.86	Niphargus_thienemanni	No
2662	6.62	46.90	Niphargus_virei	No
2697	8.46	47.41	Gammarus_fossarum_Komplex	No
2806	6.72	46.95	Gammarus_fossarum_Komplex	No
3001	8.46	47.41	Gammarus_fossarum_Komplex	No
3002	9.73	47.49	Crangonyx_subterraneus	No
3004	8.46	47.41	Gammarus_fossarum_Komplex	No
3161	6.53	46.81	Niphargus_rhenorhodanensis_Komplex	No
3162	6.53	46.81	Niphargus_rhenorhodanensis_Komplex	No
3163	6.53	46.81	Niphargus_rhenorhodanensis_Komplex	No
3199	6.72	46.95	Gammarus_fossarum_C	No
3217	9.02	45.86	Niphargus_brixianus	No
3218	8.95	45.90	Niphargus_brixianus	No
3219	8.96	45.88	Echinogammarus_sp.	No
3220	8.96	45.88	Echinogammarus_sp.	No
3221	6.72	46.95	Niphargus_rhenorhodanensis_Komplex	No
3222	7.47	46.48	Niphargus_sp.	No
3225	7.22	47.42	Niphargus_rhenorhodanensis_Komplex	No
3230	7.69	47.37	Niphargus_puteanus	No
3234	7.60	47.57	Niphargus_inopinatus	No
3235	7.60	47.57	Niphargus_rhenorhodanensis_Komplex	No
3236	7.60	47.57	Niphargus_rhenorhodanensis_Komplex	No
3237	7.60	47.57	Niphargus_virei	No
3238	7.60	47.57	Niphargus_rhenorhodanensis_Komplex	No
3239	7.60	47.57	Niphargus_caspary	No
3240	7.60	47.57	Niphargus_caspary	No
3241	7.60	47.57	Crangonyx_subterraneus	No
3242	7.60	47.57	Niphargus_rhenorhodanensis_Komplex	No
3243	7.60	47.57	Niphargus_caspary	No
3244	7.60	47.57	Niphargus_rhenorhodanensis_Komplex	No
3245	7.60	47.57	Niphargus_rhenorhodanensis_Komplex	No
3246	7.60	47.57	Niphargus_rhenorhodanensis_Komplex	No
3247	7.60	47.57	Crangonyx_subterraneus	No
3248	7.60	47.57	Niphargus_rhenorhodanensis_Komplex	No
3249	7.87	47.42	Gammarus_sp.	No
3260	NA	NA	Niphargus_sp.	No
3267	7.59	47.55	Niphargus_caspary	No
3268	NA	NA	Niphargus_caspary	No
3269	5.63	46.68	Niphargus_virei	No
3271	7.01	47.48	Niphargus_virei	No
3874	6.54	46.91	Niphargus_sp.	No
