Individual	species	haplotype	Clade	longitude	latitude	day	month	year	data_source
20182	Niphargus_fontanus	1	C	8.5	47.5	29	4	2021	Local study
20183	Niphargus_fontanus	1	C	8.5	47.5	29	4	2021	Local study
20184	Niphargus_fontanus	1	C	8.5	47.5	29	4	2021	Local study
20185	Niphargus_fontanus	1	C	8.5	47.5	29	4	2021	Local study
20186	Niphargus_fontanus	1	C	8.5	47.5	29	4	2021	Local study
20187	Niphargus_fontanus	1	C	8.5	47.5	29	4	2021	Local study
20188	Niphargus_fontanus	1	C	8.5	47.5	29	4	2021	Local study
20191	Niphargus_auerbachi	1	A	8.6	47.5	29	4	2021	Local study
20193	Niphargus_auerbachi	1	A	8.6	47.5	29	4	2021	Local study
20200	Niphargus_fontanus	2	C	8.6	47.5	29	4	2021	Local study
20202	Niphargus_fontanus	3	C	8.6	47.5	29	4	2021	Local study
20203	Niphargus_fontanus	4	C	8.6	47.5	29	4	2021	Local study
20209	Niphargus_fontanus	5	C	8.6	47.5	29	4	2021	Local study
20210	Niphargus_fontanus	5	C	8.6	47.5	29	4	2021	Local study
20211	Niphargus_fontanus	5	C	8.6	47.5	29	4	2021	Local study
20212	Niphargus_auerbachi	1	A	8.6	47.5	29	4	2021	Local study
20213	Niphargus_fontanus	5	C	8.6	47.5	29	4	2021	Local study
20214	Niphargus_tonywhitteni	1	O	8.5	47.5	28	4	2021	Local study
20215	Niphargus_tonywhitteni	1	O	8.5	47.5	21	4	2021	Local study
20216	Niphargus_tonywhitteni	2	O	8.6	47.5	14	4	2021	Local study
20217	Niphargus_tonywhitteni	3	O	8.6	47.5	14	4	2021	Local study
20218	Niphargus_tonywhitteni	1	O	8.6	47.5	14	4	2021	Local study
20219	Niphargus_tonywhitteni	1	O	8.5	47.5	14	4	2021	Local study
20220	Niphargus_tonywhitteni	1	O	8.5	47.5	14	4	2021	Local study
20221	Niphargus_fontanus	6	C	8.5	47.5	14	4	2021	Local study
20222	Niphargus_tonywhitteni	1	O	8.6	47.5	14	4	2021	Local study
20224	Niphargus_fontanus	6	C	8.9	47.3	6	4	2021	Local study
20225	Niphargus_fontanus	6	C	8.9	47.3	6	4	2021	Local study
20226	Niphargus_fontanus	6	C	8.9	47.3	6	4	2021	Local study
20227	Niphargus_fontanus	6	C	8.9	47.3	6	4	2021	Local study
20230	Niphargus_tonywhitteni	1	O	8.6	47.5	28	4	2021	Local study
20231	Niphargus_tonywhitteni	1	O	8.6	47.5	28	4	2021	Local study
20232	Niphargus_tonywhitteni	1	O	8.6	47.5	28	4	2021	Local study
20234	Niphargus_fontanus	6	C	8.9	47.3	20	4	2021	Local study
20235	Niphargus_fontanus	6	C	8.9	47.3	20	4	2021	Local study
20236	Niphargus_tonywhitteni	4	O	8.9	47.3	20	4	2021	Local study
20238	Niphargus_fontanus	6	C	8.9	47.3	13	4	2021	Local study
20239	Niphargus_tonywhitteni	1	O	8.9	47.3	13	4	2021	Local study
20240	Niphargus_fontanus	6	C	8.9	47.3	13	4	2021	Local study
20241	Niphargus_fontanus	6	C	8.9	47.3	13	4	2021	Local study
20242	Niphargus_tonywhitteni	1	O	8.9	47.3	13	4	2021	Local study
20243	Niphargus_auerbachi	2	A	8.9	47.3	13	4	2021	Local study
20245	Niphargus_fontanus	6	C	8.8	47.3	13	4	2021	Local study
20246	Niphargus_auerbachi	2	A	8.8	47.3	13	4	2021	Local study
20247	Niphargus_auerbachi	2	A	8.8	47.3	13	4	2021	Local study
20248	Niphargus_tonywhitteni	1	O	8.8	47.4	16	4	2021	Local study
20251	Niphargus_auerbachi	2	A	8.8	47.4	16	4	2021	Local study
20252	Niphargus_tonywhitteni	1	O	8.8	47.4	16	4	2021	Local study
